kode,provinsi_kode,provinsi,nama,lat,lng,luas_km2,penduduk
13.06,13,Sumatera Barat,Kabupaten Agam,-0.3151932364711986,100.02965550313753,2225.34,533254
13.07,13,Sumatera Barat,Kabupaten Lima Puluh Kota,-0.1523939738781051,100.66073826825613,3273.405,402788
13.08,13,Sumatera Barat,Kabupaten Pasaman,0.14039088869184965,100.16698745256477,3902.444,313837
13.09,13,Sumatera Barat,Kabupaten Kepulauan Mentawai,-2.054155901765037,99.58047028483205,5973.917,97837
13.10,13,Sumatera Barat,Kabupaten Dharmasraya,-0.9529856017421708,101.4941127505854,2920.925,242192
13.11,13,Sumatera Barat,Kabupaten Solok Selatan,-1.55622109073616,101.23950314232809,3282.144,181525
13.12,13,Sumatera Barat,Kabupaten Pasaman Barat,0.11037800042690936,99.82778738745613,3851.883,454053
13.71,13,Sumatera Barat,Kota Padang,-0.8758770365307109,100.38728839371491,694.315,946982
13.72,13,Sumatera Barat,Kota Solok,-0.7994814749336137,100.65278211152693,58.72,85553
13.73,13,Sumatera Barat,Kota Sawahlunto,-0.6750372451200484,100.76750125689844,231.945,68559
13.74,13,Sumatera Barat,Kota Padang Panjang,-0.4621189750496027,100.39039860910817,23.56,63895
13.75,13,Sumatera Barat,Kota Bukittinggi,-0.2854652709845979,100.36780701021121,24.173,141804
13.76,13,Sumatera Barat,Kota Payakumbuh,-0.22251750962688782,100.63197810693005,74.552,149077
13.77,13,Sumatera Barat,Kota Pariaman,-0.6289899582270029,100.1377134437062,64.626,103835
14.01,14,Riau,Kabupaten Kampar,0.3138917999795952,101.01798894984739,10352.803,898973
14.02,14,Riau,Kabupaten Indragiri Hulu,-0.39300278228698865,102.43757196516648,7871.85,487039
14.03,14,Riau,Kabupaten Bengkalis,1.4731922402874156,102.11333539019962,8604.179,681884
14.04,14,Riau,Kabupaten Indragiri Hilir,-0.3151906894045306,103.15785004555477,13518.47,713294
14.05,14,Riau,Kabupaten Pelalawan,0.38378706324101214,101.8419575583448,13256.104,446439
14.06,14,Riau,Kabupaten Rokan Hulu,0.8997093117054642,100.30741018024709,7658.149,586994
14.07,14,Riau,Kabupaten Rokan Hilir,2.0994939613474934,100.81765082131788,9068.605,688073
14.08,14,Riau,Kabupaten Siak,0.8045392202011306,102.02031850446771,7803.566,495760
14.09,14,Riau,Kabupaten Kuantan Singingi,-0.5053008502336358,101.53807726174774,5457.863,365989
14.10,14,Riau,Kabupaten Kepulauan Meranti,1.0007034465615983,102.72568179719613,NULL,211997
14.71,14,Riau,Kota Pekanbaru,0.5134188210148788,101.44702176089957,638.331,1167599
14.72,14,Riau,Kota Dumai,1.605410676514873,101.39165976395793,2061.463,355256
15.01,15,Jambi,Kabupaten Kerinci,-2.057362540443507,101.3884655651427,3445.196,268951
15.02,15,Jambi,Kabupaten  Merangin,-2.060060712192705,102.27432945279186,7540.118,397461
15.03,15,Jambi,Kabupaten Sarolangun,-2.3132156092521274,102.75041232450403,5935.894,313097
15.04,15,Jambi,Kabupaten Batanghari,-1.6936093136328045,103.27299563039578,5453.689,307361
15.05,15,Jambi,Kabupaten  Muaro Jambi,-1.4482512111723946,103.51549566092164,5159.623,457238
15.06,15,Jambi,Kabupaten Tanjung Jabung Barat,-0.8267010584857123,103.46121376201233,5544.567,336978
15.07,15,Jambi,Kabupaten Tanjung Jabung Timur,-1.2062288175283662,103.79042841792285,4544.575,244905
15.08,15,Jambi,Kabupaten Bungo,-1.5163157015353335,102.11868862402379,4760.827,380027
15.09,15,Jambi,Kabupaten Tebo,-1.4662159218571826,102.35827578475197,6103.737,376541
15.71,15,Jambi,Kota Jambi,-1.6305013396917745,103.60727024612254,169.887,649656
15.72,15,Jambi,Kota Sungai Penuh,-2.070909819809651,101.39607811491697,364.924,102224
16.01,16,Sumatera Selatan,Kabupaten Ogan Komering Ulu,-4.165710009351137,104.19777124067642,3774.497,390048
16.02,16,Sumatera Selatan,Kabupaten Ogan Komering,-3.4116461216612666,104.82302047600152,17075.713,801059
16.03,16,Sumatera Selatan,Kabupaten Muara Enim,-3.6556303086592794,103.77700425898033,6763.912,653731
16.04,16,Sumatera Selatan,Kabupaten Lahat,-3.7781858650486404,103.55048129479607,4333.065,448141
16.05,16,Sumatera Selatan,Kabupaten Musi Rawas,-3.243507659535636,103.01158628091243,6122.588,427723
16.06,16,Sumatera Selatan,Kabupaten Musi Banyuasin,-2.8888428202148733,103.84022898155693,14550.788,736897
16.07,16,Sumatera Selatan,Kabupaten Banyuasin,-2.91681146820806,104.40664162434949,12258.593,888324
16.08,16,Sumatera Selatan,Kabupaten Ogan Komering Ulu Timur,-4.368780840384969,104.35844673228776,3412.716,694832
16.09,16,Sumatera Selatan,Kabupaten Ogan Komering Ulu Selatan,-4.532324222637718,104.09536192072122,4369.252,406938
16.10,16,Sumatera Selatan,Kabupaten Ogan Ilir,-3.2605839796212193,104.65253470549459,2302.858,446020
16.11,16,Sumatera Selatan,Kabupaten Empat Lawang,-3.609843671060275,103.10276373795163,2234.097,336783
16.12,16,Sumatera Selatan,Kabupaten Penukal Abab Lematang Ilir,-3.3098740053582287,103.88405107482733,1842.563,214795
16.13,16,Sumatera Selatan,Kabupaten Musi Rawas Utara,-2.734689531152489,102.90112671236449,5937.803,203688
16.71,16,Sumatera Selatan,Kota Palembang,-2.991046172915815,104.75675098698375,352.523,1801367
16.72,16,Sumatera Selatan,Kota Pagar Alam,-4.039321642834122,103.19702046655082,625.913,153271
16.73,16,Sumatera Selatan,Kota Lubuk Linggau,-3.3258415506679007,102.82538716626468,367.726,247550
16.74,16,Sumatera Selatan,Kota Prabumulih,-3.3689384034331873,104.30842635256347,447.311,213523
17.01,17,Bengkulu,Kabupaten Bengkulu Selatan,-4.439935303062977,102.89520237885483,1219.063,177137
17.02,17,Bengkulu,Kabupaten Rejang Lebong,-3.4779639096664248,102.53188572612797,1559.419,288582
17.03,17,Bengkulu,Kabupaten Bengkulu Utara,-3.436858034706668,102.2017863093631,4478.107,309773
17.04,17,Bengkulu,Kabupaten Kaur,-4.7591102206280205,103.34909985473034,2607.839,136533
17.05,17,Bengkulu,Kabupaten Seluma,-4.077629925945562,102.55625381723668,2432.088,216028
17.06,17,Bengkulu,Kabupaten Mukomuko,-2.5527631166770415,101.10421399515411,4137.52,205602
17.07,17,Bengkulu,Kabupaten Lebong,-3.1574485628093467,102.18284672681582,1666.621,115520
17.08,17,Bengkulu,Kabupaten Kepahiang,-3.6251092126391558,102.55634520967017,738.965,151910
17.09,17,Bengkulu,Kabupaten Bengkulu Tengah,-3.7728554135369468,102.3899904291284,1132.405,126339
17.71,17,Bengkulu,Kota Bengkulu,-3.792845099999999,102.26076409999996,150.183,400533
18.01,18,Lampung,Kabupaten Lampung Selatan,-5.717676069034854,105.58534802478252,2227.357,1124683
18.02,18,Lampung,Kabupaten Lampung Tengah,-4.977246742581951,105.21014035161986,4559.57,1394395
18.03,18,Lampung,Kabupaten Lampung Utara,-4.8291901217543,104.88744459932492,2669.304,675626
18.04,18,Lampung,Kabupaten Lampung Barat,-5.018974596354066,104.06076281355635,2110.101,313756
18.05,18,Lampung,Kabupaten Tulang Bawang,-4.494996749237475,105.22021203836975,3118.613,440040
18.06,18,Lampung,Kabupaten Tanggamus,-5.480674664821914,104.68229977472107,2947.187,641036
18.07,18,Lampung,Kabupaten Lampung Timur,-5.048183264548101,105.52825470212977,3860.546,1122605
18.08,18,Lampung,Kabupaten Way Kanan,-4.506182074363012,104.51131397505866,3522.114,495058
18.09,18,Lampung,Kabupaten Pesawaran,-5.397533024693423,105.07010811310506,1286.843,501047
18.10,18,Lampung,Kabupaten Pringsewu,-5.344241935909573,105.00640245995234,617.192,444834
18.11,18,Lampung,Kabupaten Mesuji,-3.873162785665348,105.42787851469521,2200.414,241280
18.12,18,Lampung,Kabupaten Tulang Bawang Barat,-4.499407459058168,105.11989991165247,1257.088,312516
18.13,18,Lampung,Kabupaten Pesisir Barat,-5.188425335364648,103.93458368482928,2937.496,177430
18.71,18,Lampung,Kota Bandar Lampung,-5.429579213794452,105.26256765111627,183.719,1077664
18.72,18,Lampung,Kota Metro,-5.113688728188825,105.30690431111174,73.214,182293
19.01,19,Kepulauan Bangka Belitung,Kabupaten Bangka,-1.8873108002346788,106.10482719651391,3011.435,337755
19.02,19,Kepulauan Bangka Belitung,Kabupaten Belitung,-2.742308350486171,107.65431549651602,2266.107,192405
19.03,19,Kepulauan Bangka Belitung,Kabupaten Bangka Selatan,-3.019747321507955,106.5117467118603,3595.446,216079
19.04,19,Kepulauan Bangka Belitung,Kabupaten Bangka Tengah,-2.515349261743928,106.41589404069474,2253.854,210684
19.05,19,Kepulauan Bangka Belitung,Kabupaten Bangka Barat,-2.0586102945536235,105.20138132535004,2853.411,217859
19.06,19,Kepulauan Bangka Belitung,Kabupaten Belitung Timur,-2.883346486095607,108.23930392535223,2585.734,132495
19.71,19,Kepulauan Bangka Belitung,Kota Pangkal Pinang,-2.1409794439689436,106.11591390259511,104.238,242285
