npsn,lat,lng
20400299,-7.8911,110.3759
20400327,-7.9263,110.3508
20400391,-7.8903,110.3747
20400231,-7.9493,110.3504
20400215,-7.9038,110.3605
69812895,-7.923234,110.350639
20400513,-7.9076,110.3615
20400201,-7.891,110.386
20207434,-6.9301,107.3536
20268297,-6.9431,107.3527
20252563,-6.9334,107.4616
20206036,-6.8076,107.5696
69888925,-6.810411308082,107.567988403403
20279913,-6.8429,107.4736
20206053,-6.8132,107.6206
20206924,-6.8241,107.6836
20227807,-6.8183,107.6775
69816315,-6.8263,107.6746
20400740,-7.899900000000,110.365600000000
20400254,-7.923800000000,110.351400000000
69899323,-6.911300000000,107.333100000000
20279449,-6.942978000000,107.352358000000
20208143,-6.929400000000,107.475600000000
20280006,-6.931000000000,107.460500000000
20228558,-6.842900000000,107.473500000000
20205992,-6.836500000000,107.709800000000
20252485,-6.815200000000,107.513200000000
